text,sentiment,length
"Standard product, no complaints but not impressed. Additional context 93.",1,73
"Decent item, meets basic requirements. Additional context 72.",1,61
Perfect solution to my problem. Very satisfied! Additional context 83.,2,70
"Decent item, meets basic requirements. Additional context 75.",1,61
Outstanding customer service and great value. Additional context 24.,2,68
"Fair value, does what it's supposed to do. Additional context 2.",1,64
"Worst purchase ever, complete waste of money. Additional context 64.",0,68
This product is amazing and works perfectly! Additional context 76.,2,67
Very disappointed with this purchase. Additional context 89.,0,60
"Love this item, exactly what I was looking for. Additional context 59.",2,70
Average quality for the price point. Additional context 92.,1,59
"Decent item, meets basic requirements. Additional context 55.",1,61
"Love this item, exactly what I was looking for. Additional context 51.",2,70
"Fair value, does what it's supposed to do. Additional context 73.",1,65
Average quality for the price point. Additional context 4.,1,58
Outstanding customer service and great value. Additional context 14.,2,68
"Worst purchase ever, complete waste of money. Additional context 9.",0,67
Very disappointed with this purchase. Additional context 2.,0,59
"Standard product, no complaints but not impressed. Additional context 71.",1,73
"Love this item, exactly what I was looking for. Additional context 78.",2,70
Outstanding customer service and great value. Additional context 50.,2,68
"Worst purchase ever, complete waste of money. Additional context 4.",0,67
Very disappointed with this purchase. Additional context 63.,0,60
"Worst purchase ever, complete waste of money. Additional context 44.",0,68
"Worst purchase ever, complete waste of money. Additional context 62.",0,68
Product doesn't match description at all. Additional context 62.,0,64
Perfect solution to my problem. Very satisfied! Additional context 82.,2,70
"Fair value, does what it's supposed to do. Additional context 24.",1,65
"Terrible quality, broke after one day. Additional context 60.",0,61
This product is amazing and works perfectly! Additional context 29.,2,67
"Fair value, does what it's supposed to do. Additional context 65.",1,65
This product is amazing and works perfectly! Additional context 88.,2,67
Outstanding customer service and great value. Additional context 8.,2,67
"Decent item, meets basic requirements. Additional context 81.",1,61
"Decent item, meets basic requirements. Additional context 33.",1,61
"Fair value, does what it's supposed to do. Additional context 41.",1,65
"Product is okay, nothing special but works. Additional context 72.",1,66
"Terrible quality, broke after one day. Additional context 48.",0,61
"Fair value, does what it's supposed to do. Additional context 99.",1,65
Poor customer service and delayed shipping. Additional context 35.,0,66
"Love this item, exactly what I was looking for. Additional context 47.",2,70
Poor customer service and delayed shipping. Additional context 1.,0,65
Excellent quality and fast delivery. Highly recommended! Additional context 14.,2,79
"Decent item, meets basic requirements. Additional context 9.",1,60
Average quality for the price point. Additional context 42.,1,59
"Love this item, exactly what I was looking for. Additional context 63.",2,70
"Product is okay, nothing special but works. Additional context 52.",1,66
Outstanding customer service and great value. Additional context 94.,2,68
Perfect solution to my problem. Very satisfied! Additional context 15.,2,70
"Fair value, does what it's supposed to do. Additional context 36.",1,65
"Love this item, exactly what I was looking for. Additional context 86.",2,70
"Worst purchase ever, complete waste of money. Additional context 45.",0,68
"Terrible quality, broke after one day. Additional context 6.",0,60
Poor customer service and delayed shipping. Additional context 92.,0,66
This product is amazing and works perfectly! Additional context 1.,2,66
"Love this item, exactly what I was looking for. Additional context 62.",2,70
Outstanding customer service and great value. Additional context 77.,2,68
"Love this item, exactly what I was looking for. Additional context 70.",2,70
"Product is okay, nothing special but works. Additional context 62.",1,66
This product is amazing and works perfectly! Additional context 51.,2,67
Product doesn't match description at all. Additional context 24.,0,64
"Decent item, meets basic requirements. Additional context 32.",1,61
Outstanding customer service and great value. Additional context 62.,2,68
Excellent quality and fast delivery. Highly recommended! Additional context 52.,2,79
"Worst purchase ever, complete waste of money. Additional context 3.",0,67
Perfect solution to my problem. Very satisfied! Additional context 56.,2,70
"Love this item, exactly what I was looking for. Additional context 2.",2,69
Product doesn't match description at all. Additional context 54.,0,64
"Fair value, does what it's supposed to do. Additional context 96.",1,65
This product is amazing and works perfectly! Additional context 19.,2,67
"Worst purchase ever, complete waste of money. Additional context 53.",0,68
Product doesn't match description at all. Additional context 55.,0,64
"Decent item, meets basic requirements. Additional context 17.",1,61
"Fair value, does what it's supposed to do. Additional context 98.",1,65
Poor customer service and delayed shipping. Additional context 16.,0,66
This product is amazing and works perfectly! Additional context 59.,2,67
Very disappointed with this purchase. Additional context 3.,0,59
"Standard product, no complaints but not impressed. Additional context 19.",1,73
Poor customer service and delayed shipping. Additional context 19.,0,66
"Standard product, no complaints but not impressed. Additional context 33.",1,73
Average quality for the price point. Additional context 1.,1,58
"Standard product, no complaints but not impressed. Additional context 57.",1,73
Excellent quality and fast delivery. Highly recommended! Additional context 23.,2,79
Average quality for the price point. Additional context 99.,1,59
"Standard product, no complaints but not impressed. Additional context 16.",1,73
"Terrible quality, broke after one day. Additional context 60.",0,61
Excellent quality and fast delivery. Highly recommended! Additional context 1.,2,78
Product doesn't match description at all. Additional context 69.,0,64
"Love this item, exactly what I was looking for. Additional context 9.",2,69
"Love this item, exactly what I was looking for. Additional context 19.",2,70
"Standard product, no complaints but not impressed. Additional context 24.",1,73
"Terrible quality, broke after one day. Additional context 24.",0,61
"Product is okay, nothing special but works. Additional context 72.",1,66
Product doesn't match description at all. Additional context 99.,0,64
"Terrible quality, broke after one day. Additional context 99.",0,61
Perfect solution to my problem. Very satisfied! Additional context 18.,2,70
"Worst purchase ever, complete waste of money. Additional context 66.",0,68
Poor customer service and delayed shipping. Additional context 80.,0,66
This product is amazing and works perfectly! Additional context 33.,2,67
Perfect solution to my problem. Very satisfied! Additional context 48.,2,70
"Decent item, meets basic requirements. Additional context 17.",1,61
Outstanding customer service and great value. Additional context 59.,2,68
"Fair value, does what it's supposed to do. Additional context 51.",1,65
Poor customer service and delayed shipping. Additional context 27.,0,66
Very disappointed with this purchase. Additional context 30.,0,60
Outstanding customer service and great value. Additional context 64.,2,68
Perfect solution to my problem. Very satisfied! Additional context 61.,2,70
"Standard product, no complaints but not impressed. Additional context 35.",1,73
This product is amazing and works perfectly! Additional context 44.,2,67
Very disappointed with this purchase. Additional context 46.,0,60
"Love this item, exactly what I was looking for. Additional context 37.",2,70
This product is amazing and works perfectly! Additional context 46.,2,67
"Love this item, exactly what I was looking for. Additional context 60.",2,70
Outstanding customer service and great value. Additional context 63.,2,68
Perfect solution to my problem. Very satisfied! Additional context 32.,2,70
"Product is okay, nothing special but works. Additional context 67.",1,66
"Terrible quality, broke after one day. Additional context 95.",0,61
"Worst purchase ever, complete waste of money. Additional context 67.",0,68
"Worst purchase ever, complete waste of money. Additional context 32.",0,68
Average quality for the price point. Additional context 27.,1,59
"Worst purchase ever, complete waste of money. Additional context 90.",0,68
This product is amazing and works perfectly! Additional context 9.,2,66
"Fair value, does what it's supposed to do. Additional context 42.",1,65
Average quality for the price point. Additional context 99.,1,59
"Terrible quality, broke after one day. Additional context 24.",0,61
Outstanding customer service and great value. Additional context 7.,2,67
Outstanding customer service and great value. Additional context 45.,2,68
Outstanding customer service and great value. Additional context 87.,2,68
"Standard product, no complaints but not impressed. Additional context 98.",1,73
Poor customer service and delayed shipping. Additional context 25.,0,66
Very disappointed with this purchase. Additional context 22.,0,60
"Worst purchase ever, complete waste of money. Additional context 86.",0,68
Outstanding customer service and great value. Additional context 42.,2,68
Poor customer service and delayed shipping. Additional context 60.,0,66
This product is amazing and works perfectly! Additional context 8.,2,66
Outstanding customer service and great value. Additional context 5.,2,67
"Standard product, no complaints but not impressed. Additional context 6.",1,72
Outstanding customer service and great value. Additional context 94.,2,68
"Decent item, meets basic requirements. Additional context 55.",1,61
Excellent quality and fast delivery. Highly recommended! Additional context 30.,2,79
"Product is okay, nothing special but works. Additional context 63.",1,66
"Standard product, no complaints but not impressed. Additional context 58.",1,73
Average quality for the price point. Additional context 90.,1,59
This product is amazing and works perfectly! Additional context 12.,2,67
This product is amazing and works perfectly! Additional context 58.,2,67
"Terrible quality, broke after one day. Additional context 34.",0,61
"Terrible quality, broke after one day. Additional context 1.",0,60
Perfect solution to my problem. Very satisfied! Additional context 22.,2,70
"Love this item, exactly what I was looking for. Additional context 76.",2,70
Poor customer service and delayed shipping. Additional context 86.,0,66
Perfect solution to my problem. Very satisfied! Additional context 78.,2,70
This product is amazing and works perfectly! Additional context 94.,2,67
Product doesn't match description at all. Additional context 69.,0,64
"Worst purchase ever, complete waste of money. Additional context 48.",0,68
Outstanding customer service and great value. Additional context 33.,2,68
Very disappointed with this purchase. Additional context 23.,0,60
"Worst purchase ever, complete waste of money. Additional context 69.",0,68
Product doesn't match description at all. Additional context 95.,0,64
"Worst purchase ever, complete waste of money. Additional context 19.",0,68
"Terrible quality, broke after one day. Additional context 69.",0,61
Outstanding customer service and great value. Additional context 16.,2,68
Average quality for the price point. Additional context 92.,1,59
"Standard product, no complaints but not impressed. Additional context 24.",1,73
Poor customer service and delayed shipping. Additional context 33.,0,66
